name,address,hotel_score,hotel_description,features,room_data,hotel_scores
Unkown0,"124 Carrer de la Marina, Eixample, 08013 Barcelona, Spain",8.1,"[""You're eligible for a Genius discount at Canela Homes BARCELONA MARINA! To save at this property, all you have to do is sign in."", 'Located 1.8 km from Nova Icaria Beach and 1.9 km from Somorrostro Beach, Canela Homes BARCELONA MARINA in Barcelona has air-conditioned accommodations with views of the city and free WiFi.', 'Each unit is fitted with a balcony, a fully equipped kitchen with a dishwasher, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hairdryer. A microwave, a fridge and oven are also offered, as well as an electric tea pot and a coffee machine.', 'Popular points of interest near the apartment include Sagrada Familia, Picasso Museum and Palau de la Musica Catalana. The nearest airport is Barcelona-El Prat Airport, 17.7 km from Canela Homes BARCELONA MARINA.']","['Apartments', 'Kitchen', 'City view', 'Washing machine', 'Free WiFi', 'Balcony', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Heating']","{'688876304_279964508_0_0_0': {'room_price': '€ 417', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 18, 2022', 'Pay nothing until November 16, 2022']}, '688876305_279964508_0_0_0': {'room_price': '€ 403', 'room_capacity': 'Max adults: 7', 'room_options': ['Free cancellation until 11:59 PM on November 18, 2022', 'Pay nothing until November 16, 2022']}}","{'': '', 'Staff': '7.8', 'Facilities': '8.3', 'Cleanliness': '8.5', 'Comfort': '8.5', 'Value for money': '7.8', 'Location': '8.8', 'Free WiFi': '10'}"
Unkown1,"Còrsega, 244 1-1, Eixample, 08036 Barcelona, Spain",7.8,"[""You're eligible for a Genius discount at Habitat Apartments Eixample Balconies.! To save at this property, all you have to do is sign in."", 'Habitat Apartments Eixample Balconies. Is located in the center of Barcelona, close to La Pedrera, Casa Batllo and Passeig de Gracia.', 'The air-conditioned units are furnished with hardwood floors and feature a private bathroom, a flat-screen TV, free WiFi, closet, a living room, an equipped kitchen, balcony and views over the city. A dishwasher, a microwave and fridge are also available, as well as an electric tea pot.', 'Popular points of interest near the apartment include Plaça Catalunya, Passeig de Gracia Metro Station and Tivoli Theatre. The nearest airport is Barcelona-El Prat Airport, 15 km from Habitat Apartments Eixample Balconies..']","['Apartments', 'Kitchen', 'City view', 'Washing machine', 'Free WiFi', 'Balcony', 'Air conditioning', 'Private Bathroom']","{'311382706_283409124_0_0_0': {'room_price': '€ 358', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 18, 2022', 'Pay nothing until November 16, 2022', 'discount available', 'Only 1 left on our site']}}","{'': '', 'Staff': '7.3', 'Facilities': '8.1', 'Cleanliness': '8.5', 'Comfort': '8.8', 'Value for money': '7.9', 'Location': '8.8'}"
Unkown2,"Calle Vidre, 7, Ciutat Vella, 08002 Barcelona, Spain",5.8,"[""You're eligible for a Genius discount at Habitat Apartments Art! To save at this property, all you have to do is sign in."", 'In a 19th-century building next to Plaza Real, the Habitat Apartments Art is in Barcelona’s Gothic District. The property has modern apartments with free Wi-Fi and air conditioning.', 'Featuring hardwood floors, each apartment has a living room with a sofa and flat-screen TV. An oven and microwave are included in the kitchen. Some apartments include 2 bathrooms.', 'A wide variety bars, restaurants and supermarkets can be found in the area. The traditional food market of La Boqueria can be reached in 5 minutes by foot.', 'Plaça Catalunya is half a kilometer from the property. The metro stops of Liceu and Jaume I are within a 5-minute walk of the property. La Barceloneta Beach is a 20-minute walk away.']","['Apartments', 'Kitchen', 'Washing machine', 'Free WiFi', 'Private Bathroom', 'Safe', 'Heating', 'Elevator']","{'86626205_88506006_0_0_0': {'room_price': '€ 475', 'room_capacity': 'Max adults: 6', 'room_options': ['Non-refundable', 'Pay in advance', 'discount available', 'Only 1 left on our site']}}","{'': '', 'Staff': '6.5', 'Facilities': '5.8', 'Cleanliness': '6.5', 'Comfort': '6.5', 'Value for money': '5.7', 'Location': '7.5', 'Free WiFi': '7.5'}"
Unkown3,"37 Carrer del Tinent Flomesta, Sants-Montjuïc, 08028 Barcelona, Spain",8.4,"['Located within a 15-minute walk of Sants Railway Station and 1.9 km of Camp Nou in Barcelona, Anima Apartments Sants provides accommodations with free WiFi and seating area.', 'All units here are air-conditioned and feature a flat-screen TV, a living room with a sofa, a well-equipped kitchen with a dining area, and a private bathroom with shower, a hairdryer and free toiletries. A dishwasher, a microwave and fridge are also provided, as well as an electric tea pot and a coffee machine.', 'Magic Fountain of Montjuic is 2.4 km from the apartment, while Palau Sant Jordi is 3.9 km away. The nearest airport is Barcelona-El Prat Airport, 12.1 km from Anima Apartments Sants.']","['Apartments', 'Kitchen', 'Pet friendly', 'Washing machine', 'Free WiFi', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Heating', 'Elevator']","{'319066106_341731389_6_0_0': {'room_price': '€ 354', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}, '319066103_341731389_3_0_0': {'room_price': '€ 356', 'room_capacity': 'Max adults: 3 <br> Max children: 2', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}, '319066109_341731389_4_0_0': {'room_price': '€ 365', 'room_capacity': 'Max adults: 4 <br> Max children: 1', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}, '319066105_341731389_5_0_0': {'room_price': '€ 354', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}, '319066107_341731389_8_0_0': {'room_price': '€ 374', 'room_capacity': 'Max adults: 8', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}, '319066108_341731389_4_0_0': {'room_price': '€ 365', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}, '319066102_341731389_3_0_0': {'room_price': '€ 316', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 21, 2022', 'Pay nothing until November 19, 2022', 'Only 1 left on our site']}}","{'': '', 'Staff': '9.1', 'Facilities': '8.2', 'Cleanliness': '8.5', 'Comfort': '8.5', 'Value for money': '8.2', 'Location': '8.6', 'Free WiFi': '6.9'}"
Unkown4,"Joaquim Costa, 28, Ciutat Vella, 08001 Barcelona, Spain",7.8,"[""You're eligible for a Genius discount at Canela Homes BARCELONA MACBA! To save at this property, all you have to do is sign in."", 'Located just 10 minutes’ walk from the Rambla and Plaza Catalunya in central Barcelona, Canela Homes BARCELONA MACBA offers modern and stylish apartments. Free WiFi is offered.', 'Decorated in a modern, minimalist style and with designer furniture, the apartments have both air conditioning and heating,', 'The apartments at Canela Homes BARCELONA MACBA include a spacious living-dining area with flat-screen TV, and a kitchen equipped with a microwave, oven and washing machine.', 'In the surrounding area you will find many shops, restaurants and bars.', 'The MACBA Modern Art Museum is less than 5 minutes’ walk away and Universitat Metro Station is 200 m away. Busses from Barcelona Airport stop in nearby Plaça Universitat Square.', 'A surcharge applies for arrivals after check-in hours as follows:\nFrom 20:00 to 22:00: 20 EUR\nFrom 22:00 a 00:00: 30 EUR\nAfter 00:00: 50 EUR\nAll requests for late arrival are subject to confirmation by the property.']","['Apartments', 'Kitchen', 'City view', 'Washing machine', 'Free WiFi', 'Balcony', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Heating']","{'23954813_285404180_5_0_0': {'room_price': '€ 486', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 18, 2022', 'Pay nothing until November 16, 2022']}, '23954813_285404180_4_0_0': {'room_price': '€ 389', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 18, 2022', 'Pay nothing until November 16, 2022']}}","{'': '', 'Staff': '8.2', 'Facilities': '8.4', 'Cleanliness': '8.3', 'Comfort': '8.4', 'Value for money': '7.5', 'Location': '8.5', 'Free WiFi': '10'}"
Unkown5,"Entença, 140, Eixample, 08015 Barcelona, Spain",6.9,"[""You're eligible for a Genius discount at AinB Eixample-Miro Apartments! To save at this property, all you have to do is sign in."", 'These stylish and comfortable apartments are in Barcelona’s chic Eixample district, just over a quarter mile from Gran Vía. They feature a balcony, air conditioning and free Wi-Fi, a 10-minute walk from Plaza España.', 'Apartments in Barcelona Eixample-Miro have chic decor and plenty of natural light. Lounges have a sofa bed and plasma TV and modern kitchens include a coffee machine, microwave, stove and oven.', 'There are various bars, restaurants and shops within a 5-minute walk of the property. The Las Arenas Shopping Center is a 10-minute walk away.', 'The foot of Montjuic hill, with the Olympic Stadium, MNAC and Caixa Forum Museums, is a 10-minute walk away and the Joan Miró Park is a 4-minute walk away.', 'The Eixample-Miro apartments are a 5-minute walk from Entença and Tarragona Metro Stations, connecting you with Las Ramblas in 10 minutes. Sants AVE Train Station is less than half a kilometer away.']","['Apartments', 'Kitchen', 'City view', 'Free WiFi', 'Balcony', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Heating', 'Elevator']","{'38625901_295619941_5_0_0': {'room_price': '€ 308', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '38625901_91473889_5_0_0': {'room_price': '€ 277', 'room_capacity': 'Max adults: 5', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available']}, '38625901_91473889_6_0_0': {'room_price': '€ 307', 'room_capacity': 'Max adults: 6', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available']}, '38625901_295619941_6_0_0': {'room_price': '€ 342', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '38625901_91473889_4_0_0': {'room_price': '€ 238', 'room_capacity': 'Max adults: 4', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available']}, '38625901_295619941_4_0_0': {'room_price': '€ 265', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '38625901_91473889_3_0_0': {'room_price': '€ 214', 'room_capacity': 'Max adults: 3', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available']}, '38625901_295619941_3_0_0': {'room_price': '€ 239', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '38625901_91473889_2_0_0': {'room_price': '€ 190', 'room_capacity': 'Max adults: 2', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available']}, '38625901_295619941_2_0_0': {'room_price': '€ 213', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '38625901_91473889_1_0_0': {'room_price': '€ 174', 'room_capacity': 'Max adults: 1', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available']}, '38625901_295619941_1_0_0': {'room_price': '€ 196', 'room_capacity': 'Max adults: 1', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}}","{'': '', 'Staff': '7.0', 'Facilities': '6.8', 'Cleanliness': '7.2', 'Comfort': '7.2', 'Value for money': '7.0', 'Location': '8.2', 'Free WiFi': '8.4'}"
Unkown6,"Creu Coberta, 87, Sants-Montjuïc, 08014 Barcelona, Spain",8.0,"[""You're eligible for a Genius discount at Habitat Apartments ADN! To save at this property, all you have to do is sign in."", 'Located in Barcelona, 121 m from Hostafrancs Metro Station, Habitat Apartments ADN offers air conditioning, heating, and free WiFi.', 'The apartments feature modern décor and include a living room with a sofa bed and flat-screen TV. Each also has a kitchen, equipped with a dishwasher, washing machine, and hob.', 'The apartments have 1 or 2 bedrooms, as well as a private bathroom with a shower and hairdryer. Toiletries, towels, and bed linen are provided.', 'Arenas Shopping Center is 601 m from the property and it includes a big supermarket and a number of rooftop restaurants with panoramic views of the city. Sants Train Station, where you can catch a train to the airport, is a 10-minute walk away.']","['Apartments', 'Kitchen', 'View', 'Washing machine', 'Free WiFi', 'Balcony', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Safe']","{'110058406_88418711_0_0_0': {'room_price': '€ 290', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable', 'Pay in advance']}, '110058406_283521861_0_0_0': {'room_price': '€ 315', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 18, 2022', 'Pay nothing until November 16, 2022']}}","{'': '', 'Staff': '8.0', 'Facilities': '8.1', 'Cleanliness': '8.1', 'Comfort': '8.1', 'Value for money': '7.8', 'Location': '9.1', 'Free WiFi': '6.3'}"
Unkown7,"Consell de Cent, 207, Eixample, 08011 Barcelona, Spain",7.9,"[""You're eligible for a Genius discount at Cosmo Apartments Consell de Cent - Plaza Universitat! To save at this property, all you have to do is sign in."", 'Located 701 m from central Barcelona’s Universitat Square, this property offers stylish, well-equipped apartments. It is 300 m from Urgell Metro Station, just 2 stops from Las Ramblas and Plaza de Catalunya.', 'Each air-conditioned apartment has chic, contemporary décor with chrome finishes and trendy furnishings. The living room has a sofa, a flat-screen TV and an iPod docking station.', 'The kitchen includes an electric hob, an oven, microwave, dishwasher and a kettle. There is also a dining area.', 'Shops, bars and cafés can be found in the streets surrounding the apartments and on Universitat Square, 10 minutes’ walk away.', 'The apartments are within 0.9 mi of Barcelona’s Gothic Quarter, the Raval District and the CCCB Art Gallery. Passeig de Gràcia Boulevard and the famous Gaudí houses can be reached in just 10 minutes by Metro.', 'The airport bus stops 150 m away, while Sants Railway Station and the AVE High-Speed Train are easily accessed by Metro from the nearby Catalunya Station.']","['Apartments', 'Kitchen', 'Washing machine', 'Free WiFi', 'Air conditioning', 'Private Bathroom', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms', 'Safe']","{'42448506_232412767_5_0_0': {'room_price': '€ 304', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448506_88500144_5_0_0': {'room_price': '€ 278', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable', 'discount available']}, '42448506_88500144_0_0_0': {'room_price': '€ 287', 'room_capacity': 'Max adults: 6', 'room_options': ['Non-refundable', 'discount available']}, '42448506_232412767_0_0_0': {'room_price': '€ 314', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448506_88500144_4_0_0': {'room_price': '€ 251', 'room_capacity': 'Max adults: 4', 'room_options': ['Non-refundable', 'discount available']}, '42448506_232412767_4_0_0': {'room_price': '€ 275', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448506_88500144_3_0_0': {'room_price': '€ 233', 'room_capacity': 'Max adults: 3', 'room_options': ['Non-refundable', 'discount available']}, '42448506_232412767_3_0_0': {'room_price': '€ 256', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448506_88500144_2_0_0': {'room_price': '€ 207', 'room_capacity': 'Max adults: 2', 'room_options': ['Non-refundable', 'discount available']}, '42448506_232412767_2_0_0': {'room_price': '€ 228', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448506_88500144_1_0_0': {'room_price': '€ 189', 'room_capacity': 'Max adults: 1', 'room_options': ['Non-refundable', 'discount available']}, '42448506_232412767_1_0_0': {'room_price': '€ 209', 'room_capacity': 'Max adults: 1', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448509_88500144_5_0_0': {'room_price': '€ 305', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable', 'discount available']}, '42448509_232412767_5_0_0': {'room_price': '€ 334', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448509_88500144_0_0_0': {'room_price': '€ 314', 'room_capacity': 'Max adults: 6', 'room_options': ['Non-refundable', 'discount available']}, '42448509_232412767_0_0_0': {'room_price': '€ 344', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448509_88500144_4_0_0': {'room_price': '€ 278', 'room_capacity': 'Max adults: 4', 'room_options': ['Non-refundable', 'discount available']}, '42448509_232412767_4_0_0': {'room_price': '€ 305', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448509_88500144_3_0_0': {'room_price': '€ 260', 'room_capacity': 'Max adults: 3', 'room_options': ['Non-refundable', 'discount available']}, '42448509_232412767_3_0_0': {'room_price': '€ 286', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448509_88500144_2_0_0': {'room_price': '€ 225', 'room_capacity': 'Max adults: 2', 'room_options': ['Non-refundable', 'discount available']}, '42448509_232412767_2_0_0': {'room_price': '€ 248', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448509_88500144_1_0_0': {'room_price': '€ 207', 'room_capacity': 'Max adults: 1', 'room_options': ['Non-refundable', 'discount available']}, '42448509_232412767_1_0_0': {'room_price': '€ 229', 'room_capacity': 'Max adults: 1', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available']}, '42448503_88500144_5_0_0': {'room_price': '€ 411', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable']}, '42448503_232412767_5_0_0': {'room_price': '€ 452', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022']}, '42448503_88500144_0_0_0': {'room_price': '€ 420', 'room_capacity': 'Max adults: 6', 'room_options': ['Non-refundable']}, '42448503_232412767_0_0_0': {'room_price': '€ 462', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022']}, '42448503_88500144_4_0_0': {'room_price': '€ 384', 'room_capacity': 'Max adults: 4', 'room_options': ['Non-refundable']}, '42448503_232412767_4_0_0': {'room_price': '€ 423', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022']}, '42448503_88500144_3_0_0': {'room_price': '€ 367', 'room_capacity': 'Max adults: 3', 'room_options': ['Non-refundable']}, '42448503_232412767_3_0_0': {'room_price': '€ 404', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022']}, '42448503_88500144_2_0_0': {'room_price': '€ 340', 'room_capacity': 'Max adults: 2', 'room_options': ['Non-refundable']}, '42448503_232412767_2_0_0': {'room_price': '€ 376', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022']}, '42448503_88500144_1_0_0': {'room_price': '€ 322', 'room_capacity': 'Max adults: 1', 'room_options': ['Non-refundable']}, '42448503_232412767_1_0_0': {'room_price': '€ 357', 'room_capacity': 'Max adults: 1', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022']}, '42448508_232412767_0_0_0': {'room_price': '€ 326', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'discount available', 'Only 5 left on our site']}}","{'': '', 'Staff': '8.0', 'Facilities': '8.0', 'Cleanliness': '8.3', 'Comfort': '8.4', 'Value for money': '7.9', 'Location': '8.4', 'Free WiFi': '6.1'}"
Unkown8,"Sicilia, 109, Eixample, 08013 Barcelona, Spain",7.7,"[""You're eligible for a Genius discount at AinB Sagrada Familia Apartments! To save at this property, all you have to do is sign in."", 'Just a 15-minute walk from Gaudí’s Sagrada Família Basilica, the stylish, air-conditioned AinB Sagrada Familia apartments feature free Wi-Fi and well-equipped kitchens. Arc de Triomf Metro Station is 244 m away.', 'The bright apartments offer city views and have elegant minimalist décor. Each apartment has a spacious living-dining room with flat-screen satellite TV. Kitchenettes include a stove, oven and coffee maker.', 'The charming Born district and Ciutadella Park are within a 10-minute walk of AinB Sagrada Familia. Las Ramblas and Barceloneta Beach can be reached within a 20-minute walk.', 'Estació del Nord Bus Station is just 199 m from the apartments and has national and international bus services, including direct buses to Girona Airport.']","['Apartments', 'Kitchen', 'Free WiFi', 'Bathtub', 'Air conditioning', 'Non-smoking rooms', 'Heating', 'Elevator', 'Parking on site']","{'41093402_295619901_5_0_0': {'room_price': '€ 386', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property']}, '41093402_295619901_6_0_0': {'room_price': '€ 422', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property']}, '41093402_295619901_4_0_0': {'room_price': '€ 341', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property']}, '41093402_295619901_3_0_0': {'room_price': '€ 314', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property']}, '41093402_295619901_2_0_0': {'room_price': '€ 288', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property']}, '41093402_295619901_1_0_0': {'room_price': '€ 270', 'room_capacity': 'Max adults: 1', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property']}, '41093401_295619901_4_0_0': {'room_price': '€ 350', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '41093401_295619901_3_0_0': {'room_price': '€ 305', 'room_capacity': 'Max adults: 3', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}, '41093401_295619901_2_0_0': {'room_price': '€ 261', 'room_capacity': 'Max adults: 2', 'room_options': ['Free cancellation until 11:59 PM on November 20, 2022', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available']}}","{'': '', 'Staff': '7.3', 'Facilities': '7.8', 'Cleanliness': '7.9', 'Comfort': '8.1', 'Value for money': '7.6', 'Location': '8.6', 'Free WiFi': '7.5'}"
Unkown9,"Different Locations, Eixample, 08025 Barcelona, Spain",7.3,"[""You're eligible for a Genius discount at Lodging Apartments Sagrada Familia! To save at this property, all you have to do is sign in."", 'Featuring free Wi-Fi and air conditioning or roof fans, Lodging Apartments Sagrada Familia is located within 5 minutes’ walk of Sagrada Familia and Plaza Gaudí Park. Set in Barcelona’s center, these modern apartments offer a ticket service and tour desk.', 'Offering stylish and colorful décor, the apartments include a living-dining room with a flat-screen TV. The kitchenette is equipped with a washing machine and oven, and the bathroom comes with a bathtub. Towels as well as bed linen are provided.', 'Please check the excluded costs for cleaning fee and tourist tax: they are separate from the total rent amount, but clearly displayed before confirming the final payment. Lodging Apartments Sagrada Familia is centrally located and there is a wide range of shops, bars and Catalan restaurants within a 10-minute walk. Sagrada Familia and Sant Pau metro stations are within the same distance.', 'Arc de Triomf Train Station is 1.9 mi from the property, as well as Port Olimpic and the Mediterranean beaches. Barcelona Airport is 9.3 mi away.']","['Kitchen', 'Washing machine', 'Free WiFi', 'Private Bathroom', 'Non-smoking rooms', 'Heating']","{'62309615_361619425_5_0_0': {'room_price': '€ 429', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022']}, '62309615_88503368_5_0_0': {'room_price': '€ 418', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable']}, '62309614_88503368_5_0_0': {'room_price': '€ 443', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable']}, '62309614_361619425_5_0_0': {'room_price': '€ 475', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022']}, '62309614_361619425_4_0_0': {'room_price': '€ 446', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022']}, '62309623_88503368_5_0_0': {'room_price': '€ 455', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable', 'discount available']}, '62309623_361619425_5_0_0': {'room_price': '€ 488', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022', 'discount available']}, '62309623_361619425_4_0_0': {'room_price': '€ 459', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022', 'discount available']}, '62309602_88503368_5_0_0': {'room_price': '€ 461', 'room_capacity': 'Max adults: 5', 'room_options': ['Non-refundable']}, '62309602_361619425_5_0_0': {'room_price': '€ 494', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022']}, '62309602_361619425_4_0_0': {'room_price': '€ 465', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022']}, '62309607_361619425_5_0_0': {'room_price': '€ 484', 'room_capacity': 'Max adults: 5', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022', 'discount available']}, '62309607_88503368_6_0_0': {'room_price': '€ 451', 'room_capacity': 'Max adults: 6', 'room_options': ['Non-refundable', 'discount available']}, '62309607_361619425_6_0_0': {'room_price': '€ 504', 'room_capacity': 'Max adults: 6', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022', 'discount available']}, '62309607_361619425_4_0_0': {'room_price': '€ 455', 'room_capacity': 'Max adults: 4', 'room_options': ['Free cancellation until 11:59 PM on November 15, 2022', 'discount available']}}","{'': '', 'Staff': '8.7', 'Facilities': '7.3', 'Cleanliness': '7.5', 'Comfort': '7.3', 'Value for money': '6.7', 'Location': '9.1', 'Free WiFi': '5.0'}"
